MONAT,WOCHENTAG,PLZ,PRODUKT_GRUPPE,ANZAHL
01/01/2020,DO,9063,PRI,222
01/01/2020,DO,9063,ECO,141
01/01/2020,FR,9063,PRI,233
01/01/2020,FR,9063,ECO,153
01/01/2020,FR,9063,SEM,5
01/01/2020,MI,9063,PRI,217
01/01/2020,MI,9063,ECO,137
01/01/2020,MI,9063,SEM,3
01/01/2020,MO,9063,ECO,109
01/01/2020,MO,9063,PRI,142
01/01/2020,SA,9063,PRI,41
01/01/2020,SA,9063,ECO,1
01/01/2020,SA,9063,SEM,2
01/01/2020,DI,9064,SEM,4
01/01/2020,DI,9064,ECO,74
01/01/2020,DI,9064,PRI,80
01/01/2020,DO,9064,PRI,68
01/01/2020,DO,9064,ECO,72
01/01/2020,FR,9064,ECO,77
01/01/2020,FR,9064,SEM,1
01/01/2020,FR,9064,PRI,65
01/01/2020,MI,9064,SEM,1
01/01/2020,MI,9064,PRI,67
01/01/2020,MI,9064,ECO,75
01/01/2020,MO,9064,PRI,47
01/01/2020,MO,9064,ECO,57
01/01/2020,MO,9064,SEM,1
01/01/2020,SA,9064,SEM,2
01/01/2020,SA,9064,PRI,28
01/01/2020,SA,9064,ECO,1
01/01/2020,DI,9100,PRI,3021
01/01/2020,DI,9100,ECO,1394
01/01/2020,DI,9100,SEM,69
01/01/2020,DO,9100,SEM,41
01/01/2020,DO,9100,PRI,2524
01/01/2020,DO,9100,ECO,1589
01/01/2020,FR,9100,SEM,54
01/01/2020,FR,9100,ECO,1825
01/01/2020,FR,9100,PRI,2887
01/01/2020,MI,9100,PRI,2782
01/01/2020,MI,9100,ECO,1559
01/01/2020,MI,9100,SEM,41
01/01/2020,MO,9100,ECO,1258
01/01/2020,MO,9100,SEM,17
01/01/2020,MO,9100,PRI,1707
01/01/2020,SA,9100,SEM,32
01/01/2020,SA,9100,ECO,25
01/01/2020,SA,9100,PRI,657
01/01/2020,SO,9100,PRI,1
01/01/2020,DI,9101,PRI,1
01/01/2020,DI,9102,ECO,3
01/01/2020,DI,9102,PRI,3
01/01/2020,DO,9102,PRI,7
01/01/2020,DO,9102,ECO,3
01/01/2020,FR,9102,PRI,7
01/01/2020,FR,9102,ECO,4
01/01/2020,MI,9102,PRI,2
01/01/2020,MI,9102,ECO,1
01/01/2020,MO,9102,ECO,4
01/01/2020,MO,9102,PRI,7
01/01/2020,DI,9103,PRI,161
01/01/2020,DI,9103,ECO,112
01/01/2020,DO,9103,ECO,151
01/01/2020,DO,9103,PRI,155
01/01/2020,DO,9103,SEM,4
01/01/2020,FR,9103,PRI,131
01/01/2020,FR,9103,ECO,168
01/01/2020,FR,9103,SEM,2
01/01/2020,MI,9103,PRI,165
01/01/2020,MI,9103,SEM,1
01/01/2020,MI,9103,ECO,131
01/01/2020,MO,9103,ECO,98
01/01/2020,MO,9103,PRI,107
01/01/2020,SA,9103,ECO,2
01/01/2020,SA,9103,PRI,33
01/01/2020,DI,9104,SEM,6
01/01/2020,DI,9104,PRI,314
01/01/2020,DI,9104,ECO,170
01/01/2020,DO,9104,PRI,311
01/01/2020,DO,9104,ECO,221
01/01/2020,DO,9104,SEM,7
01/01/2020,FR,9104,SEM,8
01/01/2020,FR,9104,PRI,304
01/01/2020,FR,9104,ECO,220
01/01/2020,MI,9104,PRI,308
01/01/2020,MI,9104,ECO,227
01/01/2020,MI,9104,SEM,5
01/01/2020,MO,9104,PRI,195
01/01/2020,MO,9104,ECO,156
01/01/2020,MO,9104,SEM,3
01/01/2020,SA,9104,ECO,3
01/01/2020,SA,9104,PRI,51
01/01/2020,SA,9104,SEM,12
01/01/2020,DI,9105,ECO,123
01/01/2020,DI,9105,PRI,174
01/01/2020,DI,9105,SEM,5
01/01/2020,DO,9105,SEM,4
01/01/2020,DO,9105,ECO,139
01/01/2020,DO,9105,PRI,158
01/01/2020,FR,9105,PRI,162
01/01/2020,FR,9105,ECO,141
01/01/2020,FR,9105,SEM,5
01/01/2020,MI,9105,PRI,156
01/01/2020,MI,9105,SEM,1
01/01/2020,MI,9105,ECO,122
01/01/2020,MO,9105,PRI,115
01/01/2020,MO,9105,ECO,110
